analysis_family,record_type,sampling_seed,is_primary_seed,group_a,group_b,sampled_n_a,sampled_n_b,sampled_mean_a,sampled_mean_b,sampled_median_a,sampled_median_b,q25_a,q75_a,pairwise_mean_difference,pairwise_median_difference,effect_size_rank_biserial,sign_agreement_mean_fraction,sign_agreement_median_fraction,sign_agreement_effect_fraction,stability_status
luhk,pair,20260719,False,51 | Other urban / built-up land,71 | Woodland / shrubland / grassland / wetland,4,1346.0,4.671876907348633,2.2800590648339374,4.691232681274414,2.089929580688477,3.467721939086914,5.895387649536133,2.3918178425146954,2.601303100585937,0.7845468053491829,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260719,False,51 | Other urban / built-up land,72 | Woodland / shrubland / grassland / wetland,4,613.0,4.671876907348633,1.9590742381906432,4.691232681274414,1.5606327056884766,3.467721939086914,5.895387649536133,2.7128026691579894,3.130599975585937,0.8164763458401305,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260719,False,51 | Other urban / built-up land,73 | Woodland / shrubland / grassland / wetland,4,150.0,4.671876907348633,1.429736302693685,4.691232681274414,1.0307559967041016,3.467721939086914,5.895387649536133,3.242140604654948,3.660476684570313,0.95,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260719,False,71 | Woodland / shrubland / grassland / wetland,72 | Woodland / shrubland / grassland / wetland,1346,613.0,2.2800590648339374,1.9590742381906432,2.089929580688477,1.5606327056884766,1.1065311431884766,3.0718021392822266,0.3209848266432942,0.529296875,0.1654554974075806,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260719,False,71 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,1346,150.0,2.2800590648339374,1.429736302693685,2.089929580688477,1.0307559967041016,1.1065311431884766,3.0718021392822266,0.8503227621402525,1.059173583984375,0.3376622090143635,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260719,False,72 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,613,150.0,1.9590742381906432,1.429736302693685,1.5606327056884766,1.0307559967041016,0.8035526275634766,2.694421768188477,0.5293379354969583,0.529876708984375,0.1697335508428494,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,group,20260720,False,31 | GIC / open space,,10000,,5.617000197553635,,3.788095474243164,,1.832782745361328,8.900135040283203,,,,,,,group_distribution_record
luhk,group,20260720,False,51 | Other urban / built-up land,,4,,5.665498733520508,,5.628732681274414,,3.298257827758789,7.995973587036133,,,,,,,group_distribution_record
luhk,group,20260720,False,71 | Woodland / shrubland / grassland / wetland,,1346,,2.2791846886077924,,2.089929580688477,,1.1821537017822266,3.0718021392822266,,,,,,,group_distribution_record
luhk,group,20260720,False,72 | Woodland / shrubland / grassland / wetland,,613,,1.9766963224426568,,1.5606327056884766,,0.8035526275634766,2.694421768188477,,,,,,,group_distribution_record
luhk,group,20260720,False,73 | Woodland / shrubland / grassland / wetland,,150,,1.45890256245931,,1.068643569946289,,0.6520328521728516,2.3167667388916016,,,,,,,group_distribution_record
luhk,pair,20260720,False,31 | GIC / open space,51 | Other urban / built-up land,10000,4.0,5.617000197553635,5.665498733520508,3.788095474243164,5.628732681274414,1.832782745361328,8.900135040283203,-0.048498535966873,-1.84063720703125,-0.1651749999999999,0.85,0.4,0.25,insufficient_coverage_for_conclusion
luhk,pair,20260720,False,31 | GIC / open space,71 | Woodland / shrubland / grassland / wetland,10000,1346.0,5.617000197553635,2.2791846886077924,3.788095474243164,2.089929580688477,1.832782745361328,8.900135040283203,3.3378155089458423,1.6981658935546875,0.3933986627043091,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260720,False,31 | GIC / open space,72 | Woodland / shrubland / grassland / wetland,10000,613.0,5.617000197553635,1.9766963224426568,3.788095474243164,1.5606327056884766,1.832782745361328,8.900135040283203,3.6403038751109777,2.2274627685546875,0.4680972267536705,1.0,1.0,1.0,insufficient_coverage_for_conclusion
